DATE,GDP_PCH,BUSLOANS_PCH,T10Y2Y_PCH,DRCLACBS_PCH,MEHOINUSA646N_PCH,UNRATE_PCH,PCE_PCH,FEDFUNDS_PCH
1988,30.48059,5.80172,-23.48317,-1.20937,4.46644,-11.06613,8.2478,13.68131
1989,-1.46247,6.84063,-110.52434,7.88064,6.17447,-4.24886,7.41041,21.77934
1990,-26.32891,1.90324,-596.79715,6.59574,3.58749,6.81458,6.49283,-12.12477
1991,-42.63366,-2.06139,251.66803,10.44578,0.61116,21.95846,3.5298,-29.77673
1992,79.87541,-3.84871,62.88114,-9.27711,1.69289,9.3674,6.44402,-38.08059
1993,-11.80423,-2.30813,-18.69097,-13.28021,1.9748,-7.78643,6.06105,-14.17416
1994,20.49066,4.32389,-37.25782,-15.08423,3.27454,-11.70084,6.04169,39.01296
1995,-22.60482,12.60991,-63.01552,11.45176,5.61617,-8.33333,5.11849,38.91313
1996,17.26547,7.97443,41.69383,14.40129,4.15542,-3.27869,5.68251,-9.2233
1997,10.14826,9.27642,-39.34224,5.86987,4.26293,-8.62866,5.57113,3.05127
1998,-9.45702,9.821,-63.54522,0.1336,5.08039,-8.93761,6.14918,-1.9536
1999,10.75235,7.42479,60.04281,-3.53569,4.65732,-6.2963,6.8371,-7.16065
2000,3.02585,9.64876,-208.87719,-1.86722,3.17967,-5.92885,7.69327,25.46948
2001,-50.21641,1.19996,-615.87389,3.38266,0.5668,19.53782,4.48797,-37.65869
2002,4.27332,-7.75084,66.02141,-4.22631,0.42863,21.96837,3.92109,-57.12755
2003,42.38986,-6.96906,19.64036,-6.69039,2.14341,3.60231,5.18101,-32.35
2004,38.1832,-3.92481,-20.03317,-6.10221,2.34545,-7.51043,6.33888,19.66001
2005,2.18674,11.39357,-77.01816,-8.61089,4.49317,-8.27068,6.50783,138.17171
2006,-11.42804,14.19791,-105.40615,3.11111,4.0474,-9.34426,5.86726,54.48651
2007,-22.70116,15.2094,-1249.2361,7.93103,4.21568,0.18083,4.81704,1.10794
2008,-60.85084,17.08864,512.56459,20.04792,0.13935,25.63177,2.78072,-61.59721
2009,-199.32776,-6.46917,39.48652,25.1497,-1.04566,60.05747,-1.3446,-91.69909
2010,-309.55367,-15.06,8.93779,-11.74907,-1.00649,3.5009,3.49169,9.375
2011,-2.30786,3.75352,-7.14386,-22.28916,1.57886,-7.02515,4.46968,-41.90476
2012,14.66148,12.60793,-34.51558,-13.33333,1.92392,-9.60821,3.43667,37.70492
2013,-13.80349,8.83511,33.77246,-12.25403,5.03362,-8.87513,2.81984,-23.21429
2014,21.87043,10.47049,1.68373,-9.48012,0.13437,-16.30804,4.46709,-17.05426
2015,-10.02559,11.58314,-30.13103,-9.90991,5.32829,-14.34371,3.9037,48.59813
2016,-32.40419,8.75984,-30.8832,3.5,4.46422,-7.58294,3.77888,198.11321
2017,59.77502,2.01455,-7.27244,7.48792,3.55189,-10.94017,4.42079,153.5865
2018,26.44263,5.20686,-58.70311,2.80899,3.34173,-10.36468,5.1576,82.8619